name,online_order,book_table,rate,votes,location,restaurant_type,cuisines,approx_cost,listed_type,listed_city
Brimstone Cafe,True,True,4.0,390,HSR,"Cafe, Casual Dining","Cafe, Continental, Salad, Italian",1300,Dine-out,HSR
Sree Abhiruchi,False,False,2.6,20,HSR,Casual Dining,"Andhra, Biryani, North Indian",600,Dine-out,HSR
Feastaurant,True,False,3.7,27,HSR,Casual Dining,"Bengali, Chinese",800,Dine-out,HSR
Meeraa's Beegara Oota,True,False,3.8,258,HSR,Casual Dining,"South Indian, Biryani, Chinese",550,Dine-out,HSR
Gold Bean,False,False,2.5,113,HSR,Cafe,Cafe,550,Dine-out,HSR
Bengaluru House,True,False,2.6,21,HSR,Casual Dining,South Indian,700,Dine-out,HSR
The Egg Factory,True,False,4.0,136,HSR,Casual Dining,"Continental, American",750,Dine-out,HSR
Biriyani Bungalow,True,False,3.2,4,HSR,Casual Dining,"Biryani, North Indian",600,Dine-out,HSR
Foodiesthan,True,False,3.7,59,HSR,Cafe,"Cafe, Fast Food, North Indian",600,Dine-out,HSR
Rock View Family Restaurant,True,False,3.3,8,HSR,Casual Dining,"North Indian, Chinese",700,Dine-out,HSR
Hotel Reddy Bhavan,True,False,3.4,11,HSR,Quick Bites,"Biryani, North Indian, Chinese, Andhra",300,Dine-out,HSR
Poorvika Restro Cafe,True,False,3.7,76,HSR,Casual Dining,"Chinese, North Indian",700,Dine-out,HSR
Reddy's Paradise,True,False,3.1,46,HSR,Casual Dining,Andhra,700,Dine-out,HSR
Mak n Vak - Fyn,True,False,3.9,337,HSR,Quick Bites,"North Indian, Chinese",500,Dine-out,HSR
Golden Restaurant,True,True,3.4,411,HSR,Casual Dining,"North Indian, Mughlai",750,Dine-out,HSR
Aroma Fine Dine,True,True,4.0,127,HSR,Casual Dining,"North Indian, Mughlai, Chinese, South Indian",900,Dine-out,HSR
5th Main Cafe,False,False,3.5,15,HSR,Cafe,"Cafe, Fast Food",250,Dine-out,HSR
A Bar,False,False,3.3,19,HSR,Bar,"North Indian, Continental",600,Dine-out,HSR
Kairos,False,False,3.8,63,HSR,Cafe,"Cafe, Italian, European",1000,Dine-out,HSR
Anand Delhi Se,False,False,,0,HSR,Quick Bites,"North Indian, South Indian, Chinese",400,Dine-out,HSR
Royal Shark,False,False,,0,HSR,Casual Dining,"North Indian, Chinese",550,Dine-out,HSR
Copper Cafe & Grill,False,False,,0,HSR,Cafe,"Cafe, North Indian, Continental",500,Dine-out,HSR
Chaai Resto,True,False,3.9,92,HSR,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250,Dine-out,HSR
PSV's Andhra Paradise,True,False,3.5,117,HSR,Casual Dining,"Andhra, Chinese, North Indian, Hyderabadi",600,Dine-out,HSR
Sri Udupi Park,True,False,4.0,64,HSR,Casual Dining,"South Indian, North Indian, Chinese, Beverages",300,Dine-out,HSR
Stark Bistro,True,True,3.6,30,HSR,Casual Dining,"Continental, North Indian, Chinese, Burger, Pizza, Salad",850,Dine-out,HSR
Big Mama,False,False,3.3,6,HSR,Cafe,"Cafe, Continental, Italian",600,Dine-out,HSR
Thalassery Mess,False,False,3.3,7,HSR,Mess,Kerala,300,Dine-out,HSR
UBCR Cafe & Resto,False,False,3.6,17,HSR,Cafe,"Cafe, Burger, Continental, Chinese",500,Dine-out,HSR
Dum & Oven,False,False,3.7,29,HSR,Casual Dining,"North Indian, Hyderabadi, Continental",600,Dine-out,HSR
7 Degrees North,False,False,3.5,11,HSR,Casual Dining,North Indian,500,Dine-out,HSR
Nature's Nectar,False,False,3.7,38,HSR,Casual Dining,"Continental, Healthy Food",600,Dine-out,HSR
Le Rosa Restaurant,False,False,3.2,4,HSR,Casual Dining,"North Indian, Mughlai, Biryani",700,Dine-out,HSR
Indian Dhaba,False,False,3.3,7,HSR,Casual Dining,"North Indian, Chinese",450,Dine-out,HSR
Rolex Food Palace Restaurant,False,False,3.4,9,HSR,Casual Dining,"Chinese, North Indian, Arabian, Kerala",850,Dine-out,HSR
Mahek E Punjab,False,False,3.1,7,HSR,Casual Dining,"North Indian, Chinese",500,Dine-out,HSR
World Of Kebabs,False,False,3.4,5,HSR,Casual Dining,"Mughlai, Awadhi, Kebab",600,Dine-out,HSR
Punjab Di Shaan,True,False,3.0,39,HSR,Casual Dining,North Indian,450,Dine-out,HSR
The Little Chef,False,False,3.5,136,HSR,Casual Dining,"North Indian, Chinese",600,Dine-out,HSR
Foxtail Rodeo,False,False,3.5,13,South Bangalore,Food Truck,"Chinese, Street Food",300,Dine-out,HSR
Dhaba Central,False,False,3.3,5,HSR,Casual Dining,North Indian,650,Dine-out,HSR
Begum's Biriyani,False,False,3.2,4,HSR,Quick Bites,"Biryani, North Indian, Chinese",500,Dine-out,HSR
Igloo Shakez & Bytez,False,False,3.1,7,HSR,"Beverage Shop, Quick Bites","Beverages, Fast Food, Desserts",300,Dine-out,HSR
AAR Chinese And Grill Food Truck,False,False,,0,South Bangalore,Food Truck,"BBQ, Chinese",200,Dine-out,HSR
Rajsi Rasoi,True,False,,0,South Bangalore,"Takeaway, Delivery","North Indian, Chinese",600,Dine-out,HSR
Cloud Foods,False,False,,0,HSR,Casual Dining,"BBQ, Biryani, Charcoal Chicken, Chinese, North Indian, Kerala, Seafood, Street Food",600,Dine-out,HSR
SSignature,False,False,,0,HSR,Casual Dining,"North Indian, South Indian, Chinese",800,Dine-out,HSR
Swad 'E' Punjab,True,False,3.6,49,HSR,Casual Dining,"North Indian, Chinese, Mughlai",500,Dine-out,HSR
Shree Khana Khazana,True,False,3.9,356,HSR,Casual Dining,"North Indian, Chinese, Rajasthani",450,Dine-out,HSR
Samaikya,True,True,3.9,533,HSR,Casual Dining,"Andhra, Seafood, Biryani",900,Dine-out,HSR
Dragon's Kitchen,True,False,3.1,248,HSR,Casual Dining,Chinese,500,Dine-out,HSR
Wangs Kitchen,True,False,2.4,438,HSR,Casual Dining,Chinese,1000,Dine-out,HSR
Feaster,True,False,3.8,88,HSR,Casual Dining,"Continental, Asian, Chinese, Italian, North Indian",600,Dine-out,HSR
SR Biriyani Palace,False,False,3.3,8,HSR,,Andhra,300,Dine-out,HSR
Om Sai Baba Mess,True,False,3.1,11,HSR,Mess,South Indian,250,Dine-out,HSR
Talk Over Table Cafe,False,False,3.7,86,HSR,Cafe,"Cafe, Italian, Beverages",500,Dine-out,HSR
Dakshin Flavors,True,False,3.1,206,HSR,Casual Dining,"South Indian, North Indian",600,Dine-out,HSR
Bangaliana,True,False,3.7,310,HSR,Casual Dining,Bengali,600,Dine-out,HSR
Navya's,True,False,2.9,46,HSR,Quick Bites,"North Indian, Andhra, Chinese",600,Dine-out,HSR
Mumbai Tiffin,True,False,4.4,1288,HSR,Quick Bites,North Indian,400,Dine-out,HSR
TRUE BLEU RESTO CAFE,True,False,4.2,70,HSR,Quick Bites,"Pizza, Burger, Sandwich, Coffee, Desserts, Continental, Salad, Asian",400,Dine-out,HSR
Leon Grill,True,False,4.3,1099,HSR,Quick Bites,"Turkish, Arabian, Fast Food, Desserts, Healthy Food, Salad",450,Dine-out,HSR
Charcoal Eats,True,False,4.0,54,HSR,Quick Bites,"Mughlai, Biryani, Fast Food",500,Dine-out,HSR
Moolehatti Donne Biryani Mane,True,False,3.6,218,HSR,Quick Bites,"Biryani, Chinese, North Indian, Kebab",400,Dine-out,HSR
Chaat Trail By Moti Mahal,True,True,3.9,46,HSR,Quick Bites,"Street Food, Beverages, South Indian, North Indian, Ice Cream, Mithai, Rajasthani",300,Dine-out,HSR
Snakk That,True,False,3.9,54,HSR,"Quick Bites, Beverage Shop","Burger, Beverages, Fast Food",250,Dine-out,HSR
KFC,True,False,3.6,622,HSR,Quick Bites,"Burger, Fast Food",400,Dine-out,HSR
Punjabi Nukkad Pure Veg,True,False,4.0,769,HSR,Quick Bites,"North Indian, Chinese, Juices",500,Dine-out,HSR
Hotel Salam,True,False,4.1,128,HSR,Quick Bites,"North Indian, Chinese, Biryani",400,Dine-out,HSR
Raghavendra Tiffin,False,False,4.4,222,HSR,Quick Bites,South Indian,150,Dine-out,HSR
Mirch,True,False,3.7,94,HSR,Quick Bites,"North Indian, Biryani",400,Dine-out,HSR
Shree Muthahalli Veg,True,False,4.1,842,HSR,Quick Bites,"South Indian, North Indian, Chinese, Juices, Ice Cream",300,Dine-out,HSR
The Tandoori Chai,True,False,3.9,60,HSR,Quick Bites,"North Indian, Fast Food, Street Food, Beverages",400,Dine-out,HSR
California Burrito,False,False,4.1,110,HSR,Quick Bites,"Mexican, Fast Food",400,Dine-out,HSR
Faasos,True,False,3.9,355,HSR,Quick Bites,"North Indian, Biryani, Fast Food",500,Dine-out,HSR
Noon's,True,False,4.2,162,HSR,Quick Bites,Biryani,300,Dine-out,HSR
Shankar Maanes Kitchen,True,False,3.8,33,HSR,Quick Bites,"South Indian, Biryani, North Indian",500,Dine-out,HSR
Cheesy Juicy Burgers,True,False,3.8,18,HSR,Quick Bites,"Burger, Fast Food",500,Dine-out,HSR
Polar Bear,True,False,4.0,221,HSR,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,Dine-out,HSR
Navya Foods,True,False,3.4,7,HSR,Quick Bites,"North Indian, Fast Food",300,Dine-out,HSR
The Waffle Street,True,False,3.9,46,HSR,"Quick Bites, Dessert Parlor","Continental, Beverages, Burger, Coffee, Desserts",300,Dine-out,HSR
Tawa Ghar Ka,True,False,3.8,331,HSR,Quick Bites,North Indian,350,Dine-out,HSR
Sri Dalma,True,False,3.8,77,HSR,Quick Bites,"Oriya, Bengali",350,Dine-out,HSR
#L-81 Cafe,True,False,3.9,48,HSR,Quick Bites,"Fast Food, Beverages",400,Dine-out,HSR
Kabab Magic,True,False,3.1,282,HSR,Quick Bites,"North Indian, Kebab, Fast Food",500,Dine-out,HSR
Aao G Khao G,True,False,3.5,11,HSR,Quick Bites,"North Indian, Chinese",200,Dine-out,HSR
Rasana,True,False,,0,HSR,Quick Bites,"Fast Food, North Indian",250,Dine-out,HSR
de Ranthal,False,False,3.8,34,HSR,Quick Bites,Kerala,300,Dine-out,HSR
Madeena Hotel,True,False,3.9,236,HSR,Quick Bites,"North Indian, Mughlai, Biryani",400,Dine-out,HSR
New Punjabi Dhaba,True,False,3.9,783,HSR,Quick Bites,"North Indian, Chinese",300,Dine-out,HSR
Davanagere Benne Dose,True,False,3.9,106,HSR,Quick Bites,South Indian,150,Dine-out,HSR
Make It Roll,True,False,3.8,33,HSR,Quick Bites,"Rolls, Salad, Sandwich",400,Dine-out,HSR
Shubh Sweets,False,False,3.9,331,HSR,"Quick Bites, Sweet Shop","Street Food, Mithai, Momos",400,Dine-out,HSR
Biryani Palace,True,False,3.9,460,HSR,Quick Bites,"Biryani, Hyderabadi, Chinese",600,Dine-out,HSR
Tharavadu,True,False,3.8,83,HSR,Quick Bites,"Chinese, North Indian, Kerala",400,Dine-out,HSR
McDonald's,True,False,3.8,510,HSR,Quick Bites,"Burger, Fast Food",500,Dine-out,HSR
Telugu Velugu,True,False,,0,HSR,Quick Bites,"South Indian, Andhra",500,Dine-out,HSR
Uptown Sliders & Shakes,True,False,3.9,113,HSR,Quick Bites,"Burger, Fast Food, Beverages",600,Dine-out,HSR
Families Food Court,True,False,3.9,261,HSR,Quick Bites,"North Indian, Chinese, Biryani, Rolls",400,Dine-out,HSR
Donne Biriyani House,True,False,3.8,278,HSR,Quick Bites,Biryani,200,Dine-out,HSR
YUNCHI,True,False,,0,HSR,Quick Bites,North Indian,300,Dine-out,HSR
Sri Krishna Sagar,True,False,3.5,234,HSR,Quick Bites,"South Indian, North Indian, Chinese, Street Food, Juices",400,Dine-out,HSR
Masala Secret Eat WOW,True,False,3.6,14,HSR,Quick Bites,"Street Food, Fast Food, Chinese, Momos",300,Dine-out,HSR
Basava Bhavana (B2),False,False,,0,HSR,Quick Bites,South Indian,200,Dine-out,HSR
Domino's Pizza,True,False,3.8,251,HSR,Quick Bites,"Pizza, Fast Food",400,Dine-out,HSR
The Rasaganga,True,False,3.9,163,HSR,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,Dine-out,HSR
Amrutha Sweets,False,False,4.1,116,HSR,Quick Bites,"Street Food, Mithai",200,Dine-out,HSR
Ambur Star Briyani,False,False,2.8,227,HSR,Quick Bites,"Biryani, Kebab",500,Dine-out,HSR
Northam's Pizza.Pita,True,False,4.1,672,HSR,Quick Bites,"Italian, Pizza",450,Dine-out,HSR
Le Charcoal Xpress,True,False,4.0,164,HSR,Quick Bites,"Arabian, BBQ, Rolls, Lebanese",500,Dine-out,HSR
Hotel Manu,True,False,3.9,340,HSR,Quick Bites,"South Indian, Kerala, Chinese, North Indian",400,Dine-out,HSR
Khai Khai,True,False,3.9,50,HSR,Quick Bites,Bengali,450,Dine-out,HSR
OMY Grill,True,False,3.8,34,HSR,Quick Bites,"Biryani, Rolls, Fast Food",300,Dine-out,HSR
Trio Dosa Connect,True,False,,0,HSR,Quick Bites,"South Indian, Beverages",300,Dine-out,HSR
Second Wife Cafe,True,False,3.8,61,HSR,Quick Bites,"Arabian, North Indian",400,Dine-out,HSR
Hotel Tanish,True,False,3.7,15,HSR,Quick Bites,South Indian,250,Dine-out,HSR
Kaka-T-Cafe,False,False,4.0,60,HSR,Quick Bites,"Arabian, Fast Food",400,Dine-out,HSR
The Sandwich Club,True,False,3.9,88,HSR,Quick Bites,Fast Food,250,Dine-out,HSR
Southinn,True,False,3.8,190,HSR,Quick Bites,"South Indian, Fast Food, Chinese, North Indian, Street Food",250,Dine-out,HSR
Subway,True,False,3.1,382,HSR,Quick Bites,"Salad, Fast Food",600,Dine-out,HSR
Yummy Pot,True,False,,0,HSR,Quick Bites,North Indian,300,Dine-out,HSR
99 Variety Dosa and Pav Bhaji,True,False,4.0,101,HSR,Quick Bites,"South Indian, North Indian, Street Food",250,Dine-out,HSR
Pappu Chaiwalla,False,False,3.9,689,HSR,Quick Bites,"Fast Food, Tea, Beverages",300,Dine-out,HSR
Spicy Kitchen,True,False,3.8,63,HSR,Quick Bites,"Andhra, North Indian",500,Dine-out,HSR
Fun Kitchen,True,False,3.8,90,HSR,Quick Bites,"North Indian, Chinese, Fast Food",400,Dine-out,HSR
Nandhanam Restaurant,True,False,3.7,7,HSR,Quick Bites,"South Indian, Kerala",300,Dine-out,HSR
Chef Baker's,True,False,3.8,204,HSR,"Bakery, Cafe","Continental, Cafe, Desserts, Italian, Bakery",600,Dine-out,HSR
Garage Food Company,True,False,3.8,43,HSR,Quick Bites,"Chinese, Momos",300,Dine-out,HSR
The Mylapore Cafe,True,False,4.1,119,HSR,Quick Bites,"South Indian, Kerala",200,Dine-out,HSR
GrannyzHut,True,False,3.4,8,HSR,Quick Bites,"Bengali, North Indian",350,Dine-out,HSR
Paratha Plaza,False,False,3.8,184,HSR,Quick Bites,North Indian,250,Dine-out,HSR
Kachori Kafe,True,False,3.2,571,HSR,Quick Bites,"Street Food, Mithai, Desserts, North Indian",300,Dine-out,HSR
Bangalore Cafe,True,False,3.7,197,HSR,Quick Bites,"South Indian, Fast Food",400,Dine-out,HSR
Raichur Biryani House,True,False,3.8,283,HSR,Quick Bites,"Biryani, North Indian, Chinese",400,Dine-out,HSR
Nutty Affair,True,False,3.7,30,HSR,Quick Bites,Desserts,350,Dine-out,HSR
Udupi Palace,False,False,3.7,446,HSR,Quick Bites,"South Indian, North Indian, Chinese, Street Food",400,Dine-out,HSR
Tasty Treat,True,False,3.1,131,HSR,Quick Bites,"North Indian, Chinese, Biryani, Rolls",400,Dine-out,HSR
Burger Mania,True,False,,0,HSR,Quick Bites,"Burger, Sandwich, Fast Food",400,Dine-out,HSR
WOW! Momo,True,False,,0,HSR,Food Court,"Tibetan, Momos",400,Dine-out,HSR
Bewiched,True,False,3.4,10,HSR,Quick Bites,"Fast Food, Sandwich, Burger",300,Dine-out,HSR
Sree Bangalore Bhavan,True,False,3.7,44,HSR,Quick Bites,South Indian,400,Dine-out,HSR
Foodzoo,True,False,3.6,123,HSR,Quick Bites,"North Indian, Chinese, Street Food",300,Dine-out,HSR
Dr. Shawarma,True,False,3.5,4,HSR,Quick Bites,"North Indian, Rolls, Street Food",200,Dine-out,HSR
Arogya,False,False,3.4,9,HSR,Quick Bites,"South Indian, North Indian, Chinese",100,Dine-out,HSR
New Udupi Grand,True,False,3.7,36,HSR,Quick Bites,"South Indian, North Indian, Chinese, Street Food",250,Dine-out,HSR
HSR SLV Fast Food,True,False,3.7,34,HSR,Quick Bites,"South Indian, Fast Food",200,Dine-out,HSR
Tasty Noodle,True,False,3.4,5,HSR,Quick Bites,"Chinese, Seafood",400,Dine-out,HSR
Mandya Gowdru Donne Biriyani,True,False,3.8,282,HSR,Quick Bites,"Biryani, South Indian",350,Dine-out,HSR
Bihar Ki Shan,True,False,3.8,347,HSR,Quick Bites,North Indian,300,Dine-out,HSR
Pizza Hut,True,False,3.1,452,HSR,Quick Bites,"Pizza, Fast Food",750,Dine-out,HSR
Chaat Express,True,False,3.5,14,HSR,Quick Bites,"Fast Food, North Indian",200,Dine-out,HSR
Ice Treat,True,False,3.8,43,HSR,Quick Bites,"Juices, Ice Cream",200,Dine-out,HSR
Wheat House,True,False,3.3,11,HSR,Quick Bites,"Kerala, South Indian, Fast Food",400,Dine-out,HSR
Donne Biriyani Mane,False,False,3.2,23,HSR,Quick Bites,"Biryani, Kebab",400,Dine-out,HSR
Delite Chaat House,True,False,3.4,179,HSR,Quick Bites,"Street Food, Gujarati",300,Dine-out,HSR
Rolls On Wheels,False,False,3.6,218,HSR,Quick Bites,"Fast Food, Rolls, Momos",300,Dine-out,HSR
The Munch Box,False,False,,0,HSR,Quick Bites,"American, Chinese",300,Dine-out,HSR
Yo! Thali,True,False,3.5,4,HSR,Quick Bites,"North Indian, South Indian, Chinese",400,Dine-out,HSR
Kakatiya's,True,False,3.1,6,HSR,Quick Bites,"South Indian, Biryani",250,Dine-out,HSR
@Italy,False,False,3.5,40,HSR,Quick Bites,"Italian, Pizza",700,Dine-out,HSR
Idli & Dosa Cafe,False,False,2.6,91,HSR,Quick Bites,South Indian,200,Dine-out,HSR
Calvin's,True,False,3.8,22,HSR,"Dessert Parlor, Quick Bites",Desserts,800,Dine-out,HSR
RotiCurry,True,False,3.1,28,HSR,Quick Bites,"Street Food, North Indian",300,Dine-out,HSR
Wang's Xanadu Momo,False,False,3.8,14,HSR,Quick Bites,"Tibetan, Chinese, Momos",250,Dine-out,HSR
Udupi Bhavan,True,False,3.8,171,HSR,Quick Bites,"Chinese, North Indian, South Indian",400,Dine-out,HSR
Shawarma Hunt,False,False,3.4,9,HSR,Quick Bites,Arabian,300,Dine-out,HSR
Spice of India & Chai Tales,False,False,,0,HSR,Quick Bites,"Biryani, North Indian, South Indian, Beverages",400,Dine-out,HSR
Hotel Palace,True,False,3.7,24,HSR,Quick Bites,"Biryani, Chinese",250,Dine-out,HSR
Pizza Cart,True,False,3.8,80,HSR,Quick Bites,Pizza,800,Dine-out,HSR
Juice Junction Food Court,True,False,3.8,211,HSR,Quick Bites,"Juices, South Indian, Chinese, Fast Food",200,Dine-out,HSR
The Food Factory,False,False,2.7,42,HSR,Quick Bites,"North Indian, Chinese",450,Dine-out,HSR
Momos Corner,False,False,3.3,6,HSR,Quick Bites,Chinese,250,Dine-out,HSR
Murli,False,False,3.7,79,HSR,Quick Bites,"North Indian, Chinese, Street Food, Fast Food, Mithai",500,Dine-out,HSR
TY Biryani,True,False,,0,HSR,Quick Bites,"Fast Food, Biryani",500,Dine-out,HSR
Laziz Pizza,True,False,,0,HSR,Quick Bites,"Fast Food, Burger, Pizza",400,Dine-out,HSR
Kolkata Roll & Fast Food,False,False,3.6,15,HSR,Quick Bites,Fast Food,250,Dine-out,HSR
Aroma Cafe,False,False,,0,HSR,Quick Bites,"Rolls, Sandwich",300,Dine-out,HSR
Sagar Fast Food,True,False,,0,HSR,Quick Bites,"South Indian, North Indian, Street Food, Beverages",250,Dine-out,HSR
Wow Vada Pav,False,False,3.7,40,HSR,Quick Bites,"Street Food, Burger, Fast Food",150,Dine-out,HSR
GKT Biryani World,True,False,3.7,83,HSR,Quick Bites,"Biryani, Italian, BBQ",350,Dine-out,HSR
The Village Hotel,True,False,3.5,14,HSR,Quick Bites,Kerala,450,Dine-out,HSR
Omleterian,True,False,,0,HSR,Quick Bites,"American, Continental",200,Dine-out,HSR
Special Taste 99 Varieties Dosa,False,False,,0,HSR,Food Court,"South Indian, Street Food",250,Dine-out,HSR
Fresh Kitchen,False,False,,0,HSR,Quick Bites,"North Indian, Chinese",400,Dine-out,HSR
Hotel Arogya,False,False,,0,HSR,Quick Bites,"South Indian, North Indian, Chinese",400,Dine-out,HSR
Zing Roll,True,False,,0,HSR,Quick Bites,"Rolls, Sandwich",300,Dine-out,HSR
Sri Gurudev Darshini,True,False,3.5,13,HSR,Quick Bites,South Indian,150,Dine-out,HSR
Lazeez Corner,True,False,3.1,7,HSR,Quick Bites,"North Indian, Mughlai, Chinese",500,Dine-out,HSR
Cafe Talkhouse,False,False,3.8,23,HSR,Quick Bites,North Indian,,Dine-out,HSR
Nellore Abhiruchi,True,False,3.3,7,HSR,Quick Bites,"Biryani, South Indian",300,Dine-out,HSR
Indian Paratha Factory,True,False,2.7,140,HSR,Quick Bites,North Indian,250,Dine-out,HSR
Chandu Dhaba,False,False,3.8,40,HSR,Quick Bites,"Street Food, Chinese, Fast Food",250,Dine-out,HSR
Sri Upahara,False,False,,0,HSR,Quick Bites,South Indian,100,Dine-out,HSR
Kumbakonam Degree Coffee,False,False,,0,HSR,Quick Bites,South Indian,150,Dine-out,HSR
Mehek E Punjab,False,False,,0,HSR,Quick Bites,"North Indian, Chinese",400,Dine-out,HSR
Olives Restaurant,True,False,,0,HSR,Quick Bites,"South Indian, Chinese, North Indian",400,Dine-out,HSR
Delhi 6 Chaats,False,False,,0,HSR,Quick Bites,Street Food,200,Dine-out,HSR
The Biryani Palace,True,False,3.0,12,HSR,Quick Bites,"Biryani, Andhra",500,Dine-out,HSR
New Punjabi Pure Veg Restaurant,True,False,3.5,10,HSR,Quick Bites,North Indian,300,Dine-out,HSR
The Duke of Juices,True,False,2.8,5,HSR,Quick Bites,"Juices, Beverages, Salad",200,Dine-out,HSR
AutoExpress - Hot Dogs,True,False,3.3,5,HSR,Quick Bites,Fast Food,300,Dine-out,HSR
Khaja Military Hotel,True,False,,0,HSR,Quick Bites,"Biryani, Fast Food, South Indian",400,Dine-out,HSR
Hello Brother Hotel,False,False,3.4,6,HSR,Quick Bites,"North Indian, Chinese",300,Dine-out,HSR
Zodiac Grills,True,False,3.2,4,HSR,Quick Bites,"North Indian, Chinese",500,Dine-out,HSR
Nuty,True,False,,0,HSR,Quick Bites,"North Indian, Biryani",300,Dine-out,HSR
Krishna Grand,True,False,3.2,42,HSR,Quick Bites,South Indian,200,Dine-out,HSR
Manashi Paratha & Pav Bhaji,True,False,,0,HSR,Quick Bites,"Fast Food, North Indian",200,Dine-out,HSR
Spice of Andhra,False,False,3.7,41,HSR,Quick Bites,Andhra,500,Dine-out,HSR
Just Dosa,False,False,3.7,34,HSR,Quick Bites,South Indian,200,Dine-out,HSR
Food Magic,False,False,,0,HSR,Quick Bites,"North Indian, Chinese",300,Dine-out,HSR
North Tadka Restaurant,True,False,,0,HSR,Quick Bites,"North Indian, Chinese",500,Dine-out,HSR
Spicy Menu,False,False,,0,HSR,Quick Bites,"Chinese, Thai",250,Dine-out,HSR
Bangarpet Chats,False,False,3.3,5,HSR,Quick Bites,Street Food,100,Dine-out,HSR
Juice & Burger Cafeteria,False,False,,0,HSR,Quick Bites,"Fast Food, Beverages",300,Dine-out,HSR
Hotel SRV,False,False,,0,HSR,Quick Bites,"South Indian, Biryani",300,Dine-out,HSR
Serene Restaurant,False,False,,0,HSR,Quick Bites,North Indian,300,Dine-out,HSR
Metro Fast Food,False,False,,0,HSR,Quick Bites,"Biryani, Kebab",300,Dine-out,HSR
Yaadgar Biriyani,False,False,,0,HSR,Quick Bites,"North Indian, Biryani",600,Dine-out,HSR
Dosa Mania,False,False,,0,HSR,Quick Bites,"South Indian, Fast Food",200,Dine-out,HSR
New GFC Dum Biryani,False,False,,0,HSR,Quick Bites,"Biryani, South Indian",250,Dine-out,HSR
Malabar Hub,False,False,,0,HSR,Quick Bites,"Biryani, Kerala",500,Dine-out,HSR
Hot Zone,False,False,,0,HSR,Quick Bites,"Fast Food, South Indian",200,Dine-out,HSR
Nandini Cafe,False,False,,0,HSR,Quick Bites,Fast Food,200,Dine-out,HSR
Dawn Cafe,False,False,,0,HSR,Quick Bites,"Fast Food, Beverages",200,Dine-out,HSR
Shades Of Coffee,False,False,,0,HSR,Quick Bites,"Desserts, Sandwich, Fast Food, Beverages",300,Dine-out,HSR
Shakar Maanes Kitchen,False,False,,0,HSR,Quick Bites,"South Indian, North Indian, Chinese",300,Dine-out,HSR
Just Bake,True,False,3.4,7,HSR,Quick Bites,"Bakery, Desserts",400,Dine-out,HSR
Goli Vada Pav No. 1,True,False,3.8,69,HSR,Quick Bites,Street Food,200,Dine-out,HSR
Five Star Chicken,True,False,3.7,82,HSR,Quick Bites,"Fast Food, Burger",300,Dine-out,HSR
Wedding Biryani,False,False,,0,HSR,Quick Bites,"Biryani, Kebab",600,Dine-out,HSR
Punjabi Unplugged,True,False,,0,HSR,Quick Bites,North Indian,500,Dine-out,HSR
Biryani Rooh-e-Khaas,True,False,,0,HSR,Delivery,"Biryani, Mughlai",500,Dine-out,HSR
Pavan Tiffin Center,True,False,3.3,8,HSR,Quick Bites,South Indian,300,Dine-out,HSR
Yang Ming,True,False,,0,HSR,Quick Bites,Chinese,400,Dine-out,HSR
Samosa Singh,True,False,,0,HSR,Quick Bites,"North Indian, Mithai",250,Dine-out,HSR
Moradabadi Special Biryani,False,False,3.4,6,HSR,Quick Bites,Biryani,250,Dine-out,HSR
Ithaa's Biriyani,False,False,3.4,12,HSR,Quick Bites,"Biryani, Chinese, North Indian",500,Dine-out,HSR
ChopServe,False,False,3.5,5,HSR,Quick Bites,Chinese,300,Dine-out,HSR
Sandwich Truffles,False,False,3.3,8,HSR,Quick Bites,Fast Food,400,Dine-out,HSR
Muziris,False,False,3.6,24,HSR,Quick Bites,Kerala,250,Dine-out,HSR
Bangarpet Chats,False,False,3.3,9,HSR,Quick Bites,Street Food,150,Dine-out,HSR
Panchamuki Fastfood,False,False,3.5,12,HSR,Quick Bites,"South Indian, Beverages",300,Dine-out,HSR
Rayaan's Restaurant,False,False,3.6,155,HSR,Quick Bites,"North Indian, Chinese, Arabian",500,Dine-out,HSR
Saahib,False,False,3.9,89,HSR,Quick Bites,"Fast Food, Rolls",300,Dine-out,HSR
Andhra Vantillu,False,False,3.3,4,HSR,Quick Bites,"South Indian, North Indian",350,Dine-out,HSR
Ammi's Biryani,False,False,2.8,114,HSR,Quick Bites,"Biryani, North Indian",500,Dine-out,HSR
Ambur Chicken Biryani,False,False,3.1,9,HSR,Quick Bites,Biryani,250,Dine-out,HSR
Ande Ka Funda,False,False,3.3,5,HSR,Quick Bites,"North Indian, Chinese, Rolls",200,Dine-out,HSR
Purani Dilli,False,False,3.2,4,HSR,Quick Bites,"North Indian, Chinese",300,Dine-out,HSR
House of Mandarin,False,False,3.3,4,HSR,Quick Bites,Chinese,300,Dine-out,HSR
Shiny Veg Kitchen,False,False,,0,HSR,Quick Bites,"North Indian, South Indian, Chinese",300,Dine-out,HSR
Amma's Cafe,False,False,3.2,6,HSR,Quick Bites,Fast Food,300,Dine-out,HSR
SS Food Point,False,False,,0,HSR,Quick Bites,"South Indian, Biryani",250,Dine-out,HSR
Ambur Biryani,False,False,3.2,5,HSR,Quick Bites,"South Indian, Fast Food",450,Dine-out,HSR
